Brand Name,Identifier,Munsell Specification,Total Hue,0.0G 1.85/2.6,Hue Letter(s),ASTM Hue,Value,Chroma,Pigments
Williamsburg Handmade Oil Paints,Persian Rose,3.9R 5.01/14.74,3.9R,3.9,R,3.90,5.01,14.74,[PY154] [PR112] [PV19] [PW6] [PW4]
Winsor & Newton Artists' Oil Colors,Quinacridone Magenta,4.9R 4.18/16.9,4.9R,4.9,R,4.90,4.18,16.9,[PR122]
Gamblin Artist's Oil Colors,Cadmium Red Deep,5.0R 4/12,5.0R,5.0,R,5.00,4,12,[PR108]
Gamblin Artist's Oil Colors,Cadmium Red Medium,5.0R 5/14,5.0R,5.0,R,5.00,5,14,[PR108]
Gamblin Artist's Oil Colors,Indian Red,5.0R 3/6,5.0R,5.0,R,5.00,3,6,[PR101]
Gamblin Artist's Oil Colors,Napthol Red,5.0R 4/16,5.0R,5.0,R,5.00,4,16,[PR112]
Gamblin Artist's Oil Colors,Perylene Red,5.0R 3/14,5.0R,5.0,R,5.00,3,14,[PR149]
Gamblin Artist's Oil Colors,Portland Warm Grey,5.0R 7.5/2,5.0R,5.0,R,5.00,7.5,2,[PBk11] [PR101] [PW6]
Gamblin Artist's Oil Colors,Quinacridone Magenta,5.0R 2/8,5.0R,5.0,R,5.00,2,8,[PR122]
Gamblin Artist's Oil Colors,Radiant Red,5.0R 7/10,5.0R,5.0,R,5.00,7,10,[PR149] [PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Thio Violet,5.0R 1.93/5.8,5.0R,5.0,R,5.00,1.93,5.8,[PR122]
Winsor & Newton Artists' Oil Colors,Permanent Magenta,5.6R 3.22/12.9,5.6R,5.6,R,5.60,3.22,12.9,[PV19]
Grumbacher Pre-Tested Artists' Oil Colors,Quinacridone Red,5.9R 3.18/11.7,5.9R,5.9,R,5.90,3.18,11.7,[PV19]
Schmincke Mussini Oil Colors,Translucent Magenta,6.2R 1.74/9.3,6.2R,6.2,R,6.20,1.74,9.3,[PR122]
Williamsburg Handmade Oil Paints,Quinacridone Magenta,6.3R 1.97/7.67,6.3R,6.3,R,6.30,1.97,7.67,[PR122]
Schmincke Norma Professional Oil Colors,Ruby Red,6.5R 1.6/8.9,6.5R,6.5,R,6.50,1.6,8.9,[PR122]
Grumbacher Pre-Tested Artists' Oil Colors,Thalo Green (Yellow Shade),6.6R 2.66/10,6.6R,6.6,R,6.60,2.66,10,[PG36]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red Deep,6.8R 2.84/11.1,6.8R,6.8,R,6.80,2.84,11.1,[PR108:1]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red,7.1R 4.01/14.8,7.1R,7.1,R,7.10,4.01,14.8,[PR108:1]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red Medium,7.1R 3.36/13.1,7.1R,7.1,R,7.10,3.36,13.1,[PR108:1]
Williamsburg Handmade Oil Paints,Cadmium Red Deep,7.2R 3.08/12.92,7.2R,7.2,R,7.20,3.08,12.92,[PR108]
Williamsburg Handmade Oil Paints,Quinacridone Violet,7.2R 1.54/8.14,7.2R,7.2,R,7.20,1.54,8.14,[PV19]
Williamsburg Handmade Oil Paints,Quinacridone Red,7.4R 3.2/12.75,7.4R,7.4,R,7.40,3.2,12.75,[PV19]
Gamblin Artist's Oil Colors,Cadmium Red Light,7.5R 5/16,7.5R,7.5,R,7.50,5,16,[PR108]
Gamblin Artist's Oil Colors,Napthol Scarlet,7.5R 4/16,7.5R,7.5,R,7.50,4,16,[PR9]
Winsor & Newton Artists' Oil Colors,Permanent Rose,7.5R 4.09/17.3,7.5R,7.5,R,7.50,4.09,17.3,[PV19]
Williamsburg Handmade Oil Paints,Pyrrole Red,7.5R 4/18,7.5R,7.5,R,7.50,4,18,[PR254]
Gamblin Artist's Oil Colors,Quinacridone Red,7.5R 3/12,7.5R,7.5,R,7.50,3,12,[PV19]
Williamsburg Handmade Oil Paints,Cadmium Red Purple,7.6R 2.65/11.35,7.6R,7.6,R,7.60,2.65,11.35,[PR108]
Grumbacher Pre-Tested Artists' Oil Colors,Perylene Red,7.6R 2.39/8.8,7.6R,7.6,R,7.60,2.39,8.8,[PR149]
Winsor & Newton Artists' Oil Colors,Bright Red,7.9R 4.94/22.7,7.9R,7.9,R,7.90,4.94,22.7,[PR254]
Williamsburg Handmade Oil Paints,Cadmium Red Medium,8.0R 3.92/16.05,8.0R,8.0,R,8.00,3.92,16.05,[PR108]
Schmincke Norma Professional Oil Colors,Cadmium Red Deep,8.1R 3.44/15.1,8.1R,8.1,R,8.10,3.44,15.1,[PR108]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red Light,8.1R 4.51/16.4,8.1R,8.1,R,8.10,4.51,16.4,[PR108:1]
Williamsburg Handmade Oil Paints,Cadmium Purple,8.2R 2.12/9.2,8.2R,8.2,R,8.20,2.12,9.2,[PR108]
Grumbacher Pre-Tested Artists' Oil Colors,Pyrrole Red,8.2R 4.26/16.7,8.2R,8.2,R,8.20,4.26,16.7,[PR255]
Grumbacher Pre-Tested Artists' Oil Colors,Grumbacher Red (Naphthol),8.3R 3.95/15.1,8.3R,8.3,R,8.30,3.95,15.1,[PR112]
Grumbacher Pre-Tested Artists' Oil Colors,Alizarin Crimson,8.5R 1.6/4.1,8.5R,8.5,R,8.50,1.6,4.1,[PR83]
Williamsburg Handmade Oil Paints,Spanish Earth,8.5R 2.29/2.86,8.5R,8.5,R,8.50,2.29,2.86,[PR101]
Rembrandt Artists' Oil Colors,Cadmium Red Medium,8.6R 4.29/16.4,8.6R,8.6,R,8.60,4.29,16.4,[PR108]
Williamsburg Handmade Oil Paints,Fanchon Red,8.6R 4.01/17.22,8.6R,8.6,R,8.60,4.01,17.22,[PR112]
Rembrandt Artists' Oil Colors,Quinacridone Rose,8.6R 1.99/9.2,8.6R,8.6,R,8.60,1.99,9.2,[PV19]
Williamsburg Handmade Oil Paints,Canton Rose,8.8R 6.45/6.07,8.8R,8.8,R,8.80,6.45,6.07,[PY42] [PR112] [PR101] [PW6] [PW4]
Gamblin Artist's Oil Colors,Transparent Orange,8.8R 4/14,8.8R,8.8,R,8.80,4,14,[PY83] [PR149]
Gamblin Artist's Oil Colors,Venetian Red,8.8R 4/8,8.8R,8.8,R,8.80,4,8,[PR101]
Winsor & Newton Artists' Oil Colors,Winsor Orange,8.8R 6.32/24.1,8.8R,8.8,R,8.80,6.32,24.1,[PO73]
Williamsburg Handmade Oil Paints,Cadmium Red Vermilion,9.0R 4.88/17.67,9.0R,9.0,R,9.00,4.88,17.67,[PR108]
Williamsburg Handmade Oil Paints,Mars Violet,9.1R 2.26/6.06,9.1R,9.1,R,9.10,2.26,6.06,[PR101]
Williamsburg Handmade Oil Paints,Cadmium Red Light,9.3R 5.13/17.97,9.3R,9.3,R,9.30,5.13,17.97,[PR108]
Williamsburg Handmade Oil Paints,Carl's Crimson,9.3R 2.03/9.8,9.3R,9.3,R,9.30,2.03,9.8,[PR187]
Williamsburg Handmade Oil Paints,Perylene Crimson,9.4R 1.48/5.36,9.4R,9.4,R,9.40,1.48,5.36,[PR179]
Williamsburg Handmade Oil Paints,Permanent Red Orange,9.5R 4.46/16.11,9.5R,9.5,R,9.50,4.46,16.11,[PO5]
Williamsburg Handmade Oil Paints,Italian Rosso Veneto,9.6R 3.72/6.32,9.6R,9.6,R,9.60,3.72,6.32,[PR102]
Rembrandt Artists' Oil Colors,Permanent Madder Medium,9.6R 2.03/10.6,9.6R,9.6,R,9.60,2.03,10.6,[PR264] [PV19]
Schmincke Norma Professional Oil Colors,Vermilion Red Light,9.7R 4.98/17.3,9.7R,9.7,R,9.70,4.98,17.3,[PO67] [PR255]
Williamsburg Handmade Oil Paints,Montserrat Orange,9.9R 6.7/9.83,9.9R,9.9,R,9.90,6.7,9.83,[PY154] [PR112]
Schmincke Mussini Oil Colors,Translucent Orange,9.9R 3.37/12.9,9.9R,9.9,R,9.90,3.37,12.9,[PO71]
Gamblin Artist's Oil Colors,Brown Pink,10.0R 2/4,10.0R,10.0,R,10.00,2,4,[PR149] [PR101]
Gamblin Artist's Oil Colors,Burnt Sienna,10.0R 3/4,10.0R,10.0,R,10.00,3,4,[PBr7]
Gamblin Artist's Oil Colors,Cadmium Orange Deep,10.0R 6/14,10.0R,10.0,R,10.00,6,14,[PO20]
Williamsburg Handmade Oil Paints,Mars Red,10.0R 2.7/7.6,10.0R,10.0,R,10.00,2.7,7.6,[PR101]
Gamblin Artist's Oil Colors,Transparent Earth Red,10.0R 2/4,10.0R,10.0,R,10.00,2,4,[PR101]
Grumbacher Pre-Tested Artists' Oil Colors,Venetian Red,10.0R 3/8,10.0R,10.0,R,10.00,3,8,[PR101]
Winsor & Newton Artists' Oil Colors,Winsor Orange,10.0R 5/16,10.0R,10.0,R,10.00,5,16,[PO73]
Williamsburg Handmade Oil Paints,Italian Pompeii Red,0.3YR 3.88/7.28,0.3YR,0.3,YR,10.30,3.88,7.28,[PR102]
Williamsburg Handmade Oil Paints,Alizarin Orange,0.4YR 4.46/15.03,0.4YR,0.4,YR,10.40,4.46,15.03,[PR177] [PY83]
Williamsburg Handmade Oil Paints,Permanent Crimson,0.5YR 1.64/11.14,0.5YR,0.5,YR,10.50,1.64,11.14,[PR177]
Williamsburg Handmade Oil Paints,Permanent Orange,0.5YR 5.18/15.8,0.5YR,0.5,YR,10.50,5.18,15.8,[PY154] [PR112]
Schmincke Mussini Oil Colors,Pompeiian Red,0.6YR 2.92/8.5,0.6YR,0.6,YR,10.60,2.92,8.5,[PR101]
Maimeri Puro Oil Colors,Cadmium Orange,0.7YR 5.78/17.6,0.7YR,0.7,YR,10.70,5.78,17.6,[PO20]
Williamsburg Handmade Oil Paints,Red Ochre,0.8YR 3.27/5.64,0.8YR,0.8,YR,10.80,3.27,5.64,[PR102]
Williamsburg Handmade Oil Paints,French Rouge Indien,1.0YR 3.38/5.98,1.0YR,1.0,YR,11.00,3.38,5.98,[PR102]
Schmincke Mussini Oil Colors,Madder Lake Dark,1.0YR 1.55/9.2,1.0YR,1.0,YR,11.00,1.55,9.2,[PR254] [PV42]
Maimeri Puro Oil Colors,Transparent Mars Brown,1.0YR 2.97/7.2,1.0YR,1.0,YR,11.00,2.97,7.2,[PR101]
Williamsburg Handmade Oil Paints,Italian Pozzuoli Earth,1.1YR 3.6/6.72,1.1YR,1.1,YR,11.10,3.6,6.72,[PR102]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Orange Medium,1.3YR 5.94/17.2,1.3YR,1.3,YR,11.30,5.94,17.2,[PO20]
Williamsburg Handmade Oil Paints,Mars Red Light,1.3YR 3.06/8.18,1.3YR,1.3,YR,11.30,3.06,8.18,[PR101]
Williamsburg Handmade Oil Paints,Alizarin Crimson,1.4YR 1.12/6.15,1.4YR,1.4,YR,11.40,1.12,6.15,[PR83]
Grumbacher Pre-Tested Artists' Oil Colors,Burnt Sienna,1.5YR 2.44/5.1,1.5YR,1.5,YR,11.50,2.44,5.1,[PBr7] [PR101]
Schmincke Norma Professional Oil Colors,Brilliant Orange,1.6YR 6.12/16.5,1.6YR,1.6,YR,11.60,6.12,16.5,[PW4] [PY184] [PO67]
Schmincke Norma Professional Oil Colors,English Red,1.6YR 3.3/9.5,1.6YR,1.6,YR,11.60,3.3,9.5,[PR101]
Williamsburg Handmade Oil Paints,Italian Burnt Sienna,1.6YR 2.84/4.26,1.6YR,1.6,YR,11.60,2.84,4.26,[PR102]
Winsor & Newton Artists' Oil Colors,Transparent Maroon,1.6YR 2.77/9.3,1.6YR,1.6,YR,11.60,2.77,9.3,[PBr25]
Williamsburg Handmade Oil Paints,Italian Terra Rosa,1.8YR 3.17/4.15,1.8YR,1.8,YR,11.80,3.17,4.15,[PR102]
Williamsburg Handmade Oil Paints,Cadmium Orange,1.9YR 6.17/17.97,1.9YR,1.9,YR,11.90,6.17,17.97,[PO20]
Schmincke Norma Professional Oil Colors,Cadmium Orange,2.1YR 6.18/18.1,2.1YR,2.1,YR,12.10,6.18,18.1,[PO20]
Williamsburg Handmade Oil Paints,Brown Pink,2.2YR 2.08/2.59,2.2YR,2.2,YR,12.20,2.08,2.59,[PR101]
Williamsburg Handmade Oil Paints,Burnt Sienna,2.2YR 2.61/6.1,2.2YR,2.2,YR,12.20,2.61,6.1,[PBr7]
Williamsburg Handmade Oil Paints,Mars Orange Deep,2.3YR 3.04/7.16,2.3YR,2.3,YR,12.30,3.04,7.16,[PR101]
Gamblin Artist's Oil Colors,Burnt Sienna,2.5YR 3/4,2.5YR,2.5,YR,12.50,3,4,[PBr7]
Grumbacher Pre-Tested Artists' Oil Colors,Burnt Sienna,2.5YR 3/6,2.5YR,2.5,YR,12.50,3,6,[PBr7] [PR101]
Gamblin Artist's Oil Colors,Cadmium Orange,2.5YR 6/16,2.5YR,2.5,YR,12.50,6,16,[PO20]
Gamblin Artist's Oil Colors,Permanent Orange,2.5YR 6/16,2.5YR,2.5,YR,12.50,6,16,[PO62]
Williamsburg Handmade Oil Paints,Mars Orange,2.6YR 4.17/7.3,2.6YR,2.6,YR,12.60,4.17,7.3,[PY42]
Williamsburg Handmade Oil Paints,Italian Pink,2.7YR 2.49/1.95,2.7YR,2.7,YR,12.70,2.49,1.95,[PR101]
Maimeri Puro Oil Colors,Burnt Sienna,2.8YR 2.97/6.9,2.8YR,2.8,YR,12.80,2.97,6.9,[PBr7]
Schmincke Mussini Oil Colors,Translucent Red Oxide,3.0YR 1.82/4,3.0YR,3.0,YR,13.00,1.82,4,[PR101]
Schmincke Norma Professional Oil Colors,Burnt Sienna,3.2YR 2.36/6.3,3.2YR,3.2,YR,13.20,2.36,6.3,[PBr7]
Schmincke Norma Professional Oil Colors,Translucent Red Brown,3.2YR 1.67/4.6,3.2YR,3.2,YR,13.20,1.67,4.6,[PR101]
Schmincke Mussini Oil Colors,Natural Burnt Sienna,3.3YR 2.4/6.2,3.3YR,3.3,YR,13.30,2.4,6.2,[PBr7]
Williamsburg Handmade Oil Paints,Cadmium Yellow Extra Deep,4.1YR 6.88/18.56,4.1YR,4.1,YR,14.10,6.88,18.56,[PY37]
Williamsburg Handmade Oil Paints,French Burnt Ochre,4.3YR 2.57/1.43,4.3YR,4.3,YR,14.30,2.57,1.43,[PBr7]
Winsor & Newton Artists' Oil Colors,Perylene Black,4.5YR 0.88/3.5,4.5YR,4.5,YR,14.50,0.88,3.5,[PBk31]
Williamsburg Handmade Oil Paints,French Ochre Havane,4.7YR 4.06/7.4,4.7YR,4.7,YR,14.70,4.06,7.4,[PY43] [PR102]
Williamsburg Handmade Oil Paints,Italian Orange Ochre,4.7YR 3.91/5.48,4.7YR,4.7,YR,14.70,3.91,5.48,[PY43]
Gamblin Artist's Oil Colors,Asphaltum,5.0YR 1.5/2,5.0YR,5.0,YR,15.00,1.5,2,[PBk9] [PR101]
Gamblin Artist's Oil Colors,Burnt Umber,5.0YR 3/8,5.0YR,5.0,YR,15.00,3,8,[PBr7]
Gamblin Artist's Oil Colors,Burnt Umber,5.0YR 2/2,5.0YR,5.0,YR,15.00,2,2,[PBr7]
Gamblin Artist's Oil Colors,Cadmium Orange,5.0YR 7/16,5.0YR,5.0,YR,15.00,7,16,[PO20]
Gamblin Artist's Oil Colors,Caucasian Flesh Tone,5.0YR 7.5/6,5.0YR,5.0,YR,15.00,7.5,6,[PR108] [PW6] [PY43]
Gamblin Artist's Oil Colors,Indian Yellow,5.0YR 5/12,5.0YR,5.0,YR,15.00,5,12,[PY83]
Gamblin Artist's Oil Colors,Raw Sienna,5.0YR 5/6,5.0YR,5.0,YR,15.00,5,6,[PBr7]
Gamblin Artist's Oil Colors,Transparent Earth Orange,5.0YR 2/4,5.0YR,5.0,YR,15.00,2,4,[PR101] [PY42]
Williamsburg Handmade Oil Paints,Permanent Yellow Deep,5.1YR 7.19/19.13,5.1YR,5.1,YR,15.10,7.19,19.13,[PY65]
Grumbacher Pre-Tested Artists' Oil Colors,Prussian Blue,5.1YR 0.43/0.8,5.1YR,5.1,YR,15.10,0.43,0.8,[PB27]
Grumbacher Pre-Tested Artists' Oil Colors,Diarylide Yellow,5.2YR 7.02/18.6,5.2YR,5.2,YR,15.20,7.02,18.6,[PY65]
Williamsburg Handmade Oil Paints,Indian Yellow,5.4YR 6.48/17.44,5.4YR,5.4,YR,15.40,6.48,17.44,[PY83]
Williamsburg Handmade Oil Paints,Van Dyke Brown,5.4YR 1.27/0.1,5.4YR,5.4,YR,15.40,1.27,0.1,
Williamsburg Handmade Oil Paints,Red Umber,5.6YR 1.73/2.78,5.6YR,5.6,YR,15.60,1.73,2.78,[PBr7]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Yellow Deep,5.7YR 6.89/16.4,5.7YR,5.7,YR,15.70,6.89,16.4,[PO20:1]
Rembrandt Artists' Oil Colors,Cadmium Yellow Deep,5.9YR 6.98/16.4,5.9YR,5.9,YR,15.90,6.98,16.4,[PO20] [PY35]
Williamsburg Handmade Oil Paints,French Brown Ochre,6.2YR 2.78/2.68,6.2YR,6.2,YR,16.20,2.78,2.68,[PY43]
Williamsburg Handmade Oil Paints,Naples Yellow Reddish,6.4YR 7.35/7.83,6.4YR,6.4,YR,16.40,7.35,7.83,[PY42] [PO73] [PW4]
Grumbacher Pre-Tested Artists' Oil Colors,Raw Sienna,6.4YR 4.31/7.3,6.4YR,6.4,YR,16.40,4.31,7.3,[PBr7]
Williamsburg Handmade Oil Paints,Cyprus Orange,6.5YR 4.86/7.08,6.5YR,6.5,YR,16.50,4.86,7.08,[PBr7] [PO73]
Schmincke Norma Professional Oil Colors,Indian Yellow,6.5YR 6.23/15.2,6.5YR,6.5,YR,16.50,6.23,15.2,[PY153]
Winsor & Newton Artists' Oil Colors,Indian Yellow Deep,6.6YR 7.04/16.7,6.6YR,6.6,YR,16.60,7.04,16.7,[PY150]
Schmincke Mussini Oil Colors,Translucent Brown Oxide,6.6YR 1.32/2.1,6.6YR,6.6,YR,16.60,1.32,2.1,[PR101]
Schmincke Norma Professional Oil Colors,Flesh Tint,6.7YR 7.29/5.9,6.7YR,6.7,YR,16.70,7.29,5.9,[PW6] [PW4] [PR101] [PY42]
Schmincke Mussini Oil Colors,Indian Yellow,6.7YR 6.33/15,6.7YR,6.7,YR,16.70,6.33,15,[PY153]
Williamsburg Handmade Oil Paints,German Earth,6.8YR 1.98/0.04,6.8YR,6.8,YR,16.80,1.98,0.04,[PBk11]
Schmincke Norma Professional Oil Colors,Burnt Umber,7.1YR 1.49/1.5,7.1YR,7.1,YR,17.10,1.49,1.5,[PBr7]
Williamsburg Handmade Oil Paints,Alizarin Yellow,7.4YR 5.82/14.68,7.4YR,7.4,YR,17.40,5.82,14.68,[PY83] [PY42]
Winsor & Newton Artists' Oil Colors,Burnt Umber,7.5YR 1/2,7.5YR,7.5,YR,17.50,1,2,[PBr7]
Michael Harding Artists Oil Colours,Burnt Umber,7.5YR 1/2,7.5YR,7.5,YR,17.50,1,2,[PBr7]
Gamblin Artist's Oil Colors,Hansa Yellow Deep,7.5YR 7/16,7.5YR,7.5,YR,17.50,7,16,[PY75]
Schmincke Mussini Oil Colors,Natural Burnt Umber,7.5YR 1.42/0.9,7.5YR,7.5,YR,17.50,1.42,0.9,[PBr7]
Winsor & Newton Artists' Oil Colors,Raw Sienna,7.5YR 4/6,7.5YR,7.5,YR,17.50,4,6,[PY43] [PY42]
Gamblin Artist's Oil Colors,Transparent Earth Yellow,7.5YR 2/4,7.5YR,7.5,YR,17.50,2,4,[PY42]
Schmincke Mussini Oil Colors,Yellow Sienna,7.5YR 4.25/7.7,7.5YR,7.5,YR,17.50,4.25,7.7,[PY42] [PR101]
Williamsburg Handmade Oil Paints,French Noir Indien,7.7YR 2.1/0.13,7.7YR,7.7,YR,17.70,2.1,0.13,[PBk11]
Williamsburg Handmade Oil Paints,Mars Yellow Deep,7.7YR 4.7/7.8,7.7YR,7.7,YR,17.70,4.7,7.8,[PY42]
